Category,Title,Lead,Description,Link,Icon
Cross,Adoption Framework / Digital Journey,Brett Anderson,Establish a unified adoption framework and supporting content to guide customers along a prescriptive path for common scenarios. Publish a clear point of view on SAP’s approach to executing these scenarios. Enable BTP stakeholders (internal and external) on the framework and the corresponding Content Packages.,https://sap.sharepoint.com/sites/211849,Reserved_ImageAttachment_[4]_[Icon][32]_[1f02b4bd746c4179a364cc18eba0bbfa][2]_[21].png
Cross, Consumption Engagement Model,"Dong Pan, Joerg Lange ","Post‑go‑live BTP adoption and consumption often stall when SAP influence is limited, causing low consumption and churn. Publish a point of view on how the BTP Consumption Engagement Model closes this gap. Guide uncertain customers through proactive, structured engagements from limited awareness to confident adoption.",,Reserved_ImageAttachment_[4]_[Icon][32]_[6b715ae7f0694fba801c0078ed3bc660][2]_[15].png
Cross,Minimized Downtime Services (MDS) Backoffice,Dirk Rebmann,"We support complex installed‑base customers on their SAP S/4HANA journeys, including RISE with SAP. We operate MDS by managing the expert community, sustaining key projects, and validating new tools with GCO. Our proven capability minimizes cutover windows during go‑lives, especially across large, complex landscapes globally.",,Reserved_ImageAttachment_[4]_[Icon][32]_[33883535dc0f45ac805dc28eece28d6f][2]_[15].png
Cross,AI-centric Business Content Harvesting workstream,Antonia Kuksova,"Establish a repository of productive use cases showcasing Solution Area BTP Adoption delivery achievements. Ensure outputs are clear, attributable, and organized into AI, Build, and Integration categories, with AI as the pilot stream. Subsequently, analyze data and underlying reasoning to derive actionable insights and improvements.",,Reserved_ImageAttachment_[4]_[Icon][32]_[621befd3c5e2472286927eb25568c6de][2]_[13].png
AI,AI Best Practices,Ian Humphries,"A comprehensive set of Best Practices for developing and building AI applications on BTP. The Best Practices include reference architectures, configuration settings, implementation guidance, and code samples or repositories to help partners and customers quickly jump‑start efforts and successfully build their own AI‑driven use cases.",https://btp-ai-bp.docs.sap/,Reserved_ImageAttachment_[4]_[Icon][32]_[01498ebb6e09462c84022abe0f8ce47b][1]_[5].png
AI,Joule Readiness Service   (IAS),Norman Nuernberger,"This offering targets customers seeking SAP Joule enablement for an SAP line‑of‑business solution but struggling to meet setup prerequisites. We address gaps that impede SAP Joule readiness, particularly across identity lifecycle and authentication management (IAM), reducing friction and accelerating prerequisite completion for activation and onboarding.",,Reserved_ImageAttachment_[4]_[Icon][32]_[5cc18804e34d4fc68c7dcc02ae6c04ee][1]_[5].png
Partners,Partner Back Office,Diane Marzano,"To help partners drive SAP BTP adoption with joint customers, we’ve established the Partner Backoffice for SAP BTP—removing implementation barriers, accelerating delivery, and aligning to best practices.
",,Reserved_ImageAttachment_[4]_[Icon][32]_[48ef7a5bf57f440a90ba16b30594bdac][2]_[11].png
Partners,NEXTLEVEL A&C,"Rudi Held, Sohail Mohammed","NEXTLEVEL is a flagship partner innovation program co-created with strategic GSI/Platinum partners. Partners run Joule Agentic AI design workshops with top customers to ideate, validate, and build AI use cases on SAP BAIP—from discovery to VPUCs and customer success stories.
 ",,Reserved_ImageAttachment_[4]_[Icon][32]_[c56dc38a707c47b48fb2879108daa19a][1]_[5].png
Build,AI acceleration for Cybersecurity,"Michael Altmaier, Alex Rosswog","MCF is an AI-based web application that supports consultants in identifying compliance obligations within customer landscapes. Additionally, it assesses customers' compliance status and recommends technical controls to be implemented. As an automated tool, it significantly reduces effort and scales efficiently",,Reserved_ImageAttachment_[4]_[Icon][32]_[d5dbe73a893b4558bf3ea263726758f3][1]_[1].png
Build,Customer & Partner Info-days and Hackathons,André Hohmann-Tusch,"Initiative to drive SAP Joule Studio adoption through hands-on events, hackathons, and partner engagement activities, leveraging the momentum from Sapphire to accelerate AI-powered development scenarios.",,Reserved_ImageAttachment_[4]_[Icon][32]_[a5f8365334a5444ebc5668a908e3b75b][1]_[1].png
Build,SAP Micro-App Hub,Peter DeNero & Timo Maier,"Initiative to further improve the micro app hub by driving the role out and implementation of more apps, increasing  awareness and ultimately the adoptions of the apps from customers",,Reserved_ImageAttachment_[4]_[Icon][32]_[7741db1dae1540fa8dbc97024de7752a][1]_[1].png
Build,Transformation Preparation Service (BTP)​,Shabeer Jameela,"The service offers enhanced SAP expert guidance to develop a tailored transformation roadmap based on customer needs and set up key transformation tools and governance model to accelerate time to value. 
Scope: Tailored Transformation Roadmap, Governance Framework for Fit-to-Standard , BTM, SAP Build, AI.",,Reserved_ImageAttachment_[4]_[Icon][32]_[cb56efffb44841f595d6a1dc7ace995b][1]_[1].png
Build,Vision to Value (Build Adoption) / VAS services​,Julie Fiala,The Vision to Value Initiative provides additional end-to-end support seamlessly integrated within the Value Acceleration Services to facility use case discovery and implementation.,,Reserved_ImageAttachment_[4]_[Icon][32]_[c8bec5fd2c3c4a84a8710a2de4ef76e6][1]_[1].png
Mobile,Mobile Start/Scale SMS,Udo Leutbecher,"Scale Mobile Start to 2,000 customers; 100k MAU target",,Reserved_ImageAttachment_[4]_[Icon][32]_[865d08b966d14253b820f3f1354bf7a7][1]_[1].png
Integration,PI Elevation,Richard Kleib,"PI Elevation supports SAP customers in transitioning from SAP Process Integration / Process Orchestration to SAP Integration Suite.The program combines tooling, services, and partner ecosystem enablement to accelerate migrations and drive adoption of modern integration architectures (cloud, API-led, event-driven). It focuses on enabling scalable and efficient migration execution while increasing customer consumption of SAP BTP.",,Reserved_ImageAttachment_[4]_[Icon][32]_[daaf765045804d5c9550a3e42f9a808e][1]_[1].png
Integration,B2B Integration Factory,Maximiliam Barth,"AI-enabled B2B factory that reduces migration efforts by 80% via legacy-agnostic accelerators such as B2B migration & modernization methodology, AI-driven automation tools & industry-specific prepackaged content.

 ",,Reserved_ImageAttachment_[4]_[Icon][32]_[fcedf0896756422a8a8c0728f5767918][1]_[1].png
Integration,"Agentic AI for SAP Integration Suite (""MAYA"")",Richard Kleibl,"MAYA introduces AI-powered agents for SAP Integration Suite that automate integration operations such as monitoring, error handling, and analysis. The initiative focuses on reducing operational complexity and enabling both integration experts and business users to interact with integration landscapes more efficiently.
MAYA is currently in productization, with first capabilities planned in Integration Suite (starting with monitoring). ",,Reserved_ImageAttachment_[4]_[Icon][32]_[4adeae418f804d1794bf1db48ef8a0e9][1]_[1].png
Integration,Off Neo CPI,"Satish Chauhan, Sunita Gadapu","The migration program ensures a timely, smooth transition from SAP BTP Neo to Cloud Foundry with minimal business disruption. It focuses on early customer engagement, proactive planning, and risk identification to prevent last-minute challenges.
With Neo sunset planned for end of 2028, migrating to Cloud Foundry consolidates BTP onto a single strategic runtime — reducing cost, avoiding technical debt, and ensuring continued access to innovation.

 ",,Reserved_ImageAttachment_[4]_[Icon][32]_[ed8f2bb8cc68489986d89963b4c8513d][1]_[2].png
Integration,Enterprise-Wide Integration," Susana Morgado, Jose Neves & Rebekka Schupp​","Initiative to accelerate customer migration from third-party integration platforms to SAP Integration Suite through a predictable, scalable, and partner-enabled model, aligned with RISE and Clean Core, delivering measurable business value.
 ",,Reserved_ImageAttachment_[4]_[Icon][32]_[1cf361934dfa4c3bb7ca42afb24e92a0][1]_[1].png
Integration,Integration Modernization Info Days,Jens Neumann,"SAP’s BTP Integration Suite seizes  the modernization opportunity and addresses the question: “What would you do better, if you could do it again?” .​ The campaign enables customers how to use the available technologies and methods to modernize their integration landscape. They are advised how to scope, plan and execute a modernization program and how to become an adaptable organization with an innovation mindset, embedded into a lively community, drive innovation through integrated processes and data across the entire value chain.  ",,Reserved_ImageAttachment_[4]_[Icon][32]_[0b9f1e6e51e941f69da04d4fcf31335c][1]_[2].png
Integration,TEST,TEST TEST,TEST TEST TEST,,Reserved_ImageAttachment_[4]_[Icon][32]_[0b9f1e6e51e941f69da04d4fcf31335c][1]_[2].png
